College Name,State,City,College Type,Rating,Average Fees,Campus Size,Total Faculty,Courses,Facilities,Genders Accepted,Established Year
Institute of Chemical Technology,Maharashtra,Mumbai,Public/Government,3.9,50000,18 Acres,180,B.Tech Chemical Engineering;B.Tech Pharmaceutical Chemistry;B.Tech Food Engineering;M.Tech;PhD,Boys Hostel;Girls Hostel;Library;Sports;Cafeteria;Wi-Fi;Labs,Co-Ed,1933
College of Engineering Pune,Maharashtra,Pune,Public/Government,3.7,80000,50 Acres,350,B.Tech Computer Science Engineering;B.Tech Electronics Engineering;B.Tech Civil Engineering;M.Tech,Boys Hostel;Girls Hostel;Library;Sports;Cafeteria;Wi-Fi;Labs,Co-Ed,1854
VJTI Mumbai,Maharashtra,Mumbai,Public/Government,3.6,65000,25 Acres,300,B.Tech Computer Science Engineering;B.Tech Electronics Engineering;B.Tech Mechanical Engineering;M.Tech,Boys Hostel;Girls Hostel;Library;Sports;Cafeteria;Wi-Fi,Co-Ed,1887
Sardar Vallabhbhai National Institute of Technology,Gujarat,Surat,Public/Government,3.5,90000,232 Acres,380,B.Tech Computer Science Engineering;B.Tech Civil Engineering;B.Tech Chemical Engineering;M.Tech,Boys Hostel;Girls Hostel;Library;Sports;Cafeteria;Wi-Fi;Labs,Co-Ed,1961
Motilal Nehru National Institute of Technology,Uttar Pradesh,Prayagraj,Public/Government,3.6,90000,222 Acres,400,B.Tech Computer Science Engineering;B.Tech Electronics Engineering;B.Tech Chemical Engineering;M.Tech,Boys Hostel;Girls Hostel;Library;Sports;Cafeteria;Wi-Fi;Labs,Co-Ed,1961
Maulana Azad National Institute of Technology,Madhya Pradesh,Bhopal,Public/Government,3.4,90000,650 Acres,350,B.Tech Computer Science Engineering;B.Tech Civil Engineering;B.Tech Electronics Engineering;M.Tech,Boys Hostel;Girls Hostel;Library;Sports;Cafeteria;Wi-Fi;Labs,Co-Ed,1960
IIIT Hyderabad,Telangana,Hyderabad,Public/Government,4.1,250000,65 Acres,120,B.Tech Computer Science Engineering;B.Tech Electronics Engineering;M.Tech;PhD,Boys Hostel;Girls Hostel;Gym;Library;Sports;Cafeteria;Wi-Fi;Labs,Co-Ed,1998
IIIT Bangalore,Karnataka,Bengaluru,Private,3.9,380000,5 Acres,150,B.Tech Computer Science Engineering;M.Tech;PhD,Boys Hostel;Girls Hostel;Library;Cafeteria;Wi-Fi;Labs,Co-Ed,1999
Amity University,Uttar Pradesh,Noida,Private,3.1,280000,200 Acres,2000,B.Tech Computer Science Engineering;B.Tech Electronics Engineering;B.Tech Mechanical Engineering;M.Tech,Boys Hostel;Girls Hostel;Gym;Library;Sports;Cafeteria;Wi-Fi;Labs,Co-Ed,2005
Lovely Professional University,Punjab,Phagwara,Private,3.0,150000,600 Acres,6000,B.Tech Computer Science Engineering;B.Tech Electronics Engineering;B.Tech Mechanical Engineering;M.Tech,Boys Hostel;Girls Hostel;Gym;Library;Sports;Cafeteria;Wi-Fi;Labs,Co-Ed,2005
Chandigarh University,Punjab,Chandigarh,Private,3.2,170000,200 Acres,2500,B.Tech Computer Science Engineering;B.Tech Electronics Engineering;B.Tech Mechanical Engineering;M.Tech,Boys Hostel;Girls Hostel;Gym;Library;Sports;Cafeteria;Wi-Fi;Labs,Co-Ed,2012
KIIT University,Odisha,Bhubaneswar,Private,3.3,330000,25 Acres,1100,B.Tech Computer Science Engineering;B.Tech Electronics Engineering;B.Tech Civil Engineering;M.Tech,Boys Hostel;Girls Hostel;Gym;Library;Sports;Cafeteria;Wi-Fi;Labs,Co-Ed,1992
Vellore Institute of Technology Chennai,Tamil Nadu,Chennai,Private,3.5,195000,130 Acres,1500,B.Tech Computer Science Engineering;B.Tech Electronics Engineering;B.Tech Bioengineering;M.Tech,Boys Hostel;Girls Hostel;Gym;Library;Sports;Cafeteria;Wi-Fi;Labs,Co-Ed,2010
Anna University,Tamil Nadu,Chennai,Public/Government,3.5,70000,180 Acres,900,B.Tech Computer Science Engineering;B.Tech Civil Engineering;B.Tech Chemical Engineering;M.Tech;PhD,Boys Hostel;Girls Hostel;Library;Sports;Cafeteria;Wi-Fi;Labs,Co-Ed,1978
Osmania University College of Engineering,Telangana,Hyderabad,Public/Government,3.3,50000,1600 Acres,400,B.Tech Computer Science Engineering;B.Tech Electronics Engineering;B.Tech Mechanical Engineering;M.Tech,Boys Hostel;Girls Hostel;Library;Sports;Cafeteria;Wi-Fi;Labs,Co-Ed,1929
International Institute of Information Technology Hyderabad,Telangana,Hyderabad,Public/Government,4.0,250000,66 Acres,85,B.Tech Computer Science Engineering;B.Tech Electronics Engineering;M.Tech;PhD,Boys Hostel;Girls Hostel;Gym;Library;Sports;Cafeteria;Wi-Fi;Labs,Co-Ed,2001
